gene	transcript	hgvs_c	classification	PhastCons100way	PhyloP100way	REVEL	SpliceAI_masked	FAF95_grpmax	CADD_phred	AlphaMissense_pred	ClinVar_sig
ACD	NM_001082486.2	c.1299-5T>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0, PhyloP<0.1, intronic_ROI(-5)	0.011	-0.007				6.615		
ACD	NM_001082486.2	c.1299-5T>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0, PhyloP<0.1, intronic_ROI(-5)	0.011	-0.007				13.86		
ACD	NM_001082486.2	c.1299-8C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0, PhyloP<0.1, intronic_ROI(-8)	0.011	0.032				3.208		
ACD	NM_001082486.2	c.1299-8C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0, PhyloP<0.1, intronic_ROI(-8)	0.011	0.032			2.80000e-07	8.63		
ACD	NM_001082486.2	c.1295T>C	Benign FAF >5%	0.145	-0.091	.;.		0.895011	5.452	.;.	Benign
ACD	NM_001082486.2	c.1245G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.047	-1.831	.;.;.			5.245	.;.;.	
ACD	NM_001082486.2	c.1245G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.047	-1.831	.;.;.			4.683	.;.;.	
ACD	NM_001082486.2	c.1245G>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.047	-1.831	.;.;.			0.99	.;.;.	
ACD	NM_001082486.2	c.1244A>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.992	2.68	.;.;.			24.0	.;.;.	
ACD	NM_001082486.2	c.1244A>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.992	2.68	.;.;.			24.9	.;.;.	
ACD	NM_001082486.2	c.1244A>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.992	2.68	.;.;.			25.7	.;.;.	
ACD	NM_001082486.2	c.1218G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	0.056				20.7		
ACD	NM_001082486.2	c.1218G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	0.056				21.1		
ACD	NM_001082486.2	c.1218G>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	0.056				8.125		
ACD	NM_001082486.2	c.1207-10C>G	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0, PhyloP<0.1, intronic_ROI(-10)	0.0	-0.394				10.64		
ACD	NM_001082486.2	c.1207-10C>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0, PhyloP<0.1, intronic_ROI(-10)	0.0	-0.394				7.957		
ACD	NM_001082486.2	c.1163G>T	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	0.324	.;.;.			19.49	.;.;.	
ACD	NM_001082486.2	c.1163G>C	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	0.324	.;.;.			15.85	.;.;.	
ACD	NM_001082486.2	c.1163G>A	Benign synonymous, SpliceAI<=0.1, PhastCons<1.0	0.0	0.324	.;.;.		2.90000e-07	12.06	.;.;.	
